device /dev/input/event10, name "ELAN Touchscreen", phys "usb-0000:00:14.0-4.4/input0"
(InputEvent(1480382771L, 985145L, 3, 57, -1L), '---', -1L)
(InputEvent(1480382772L, 225041L, 3, 57, 1490L), '---', 1490L)
(InputEvent(1480382772L, 225041L, 3, 53, 1526L), '---', 1526L)
(InputEvent(1480382772L, 225041L, 3, 54, 1223L), '---', 1223L)
(InputEvent(1480382772L, 225041L, 3, 60, 1526L), '---', 1526L)
(InputEvent(1480382772L, 225041L, 3, 61, 1223L), '---', 1223L)
(InputEvent(1480382772L, 225041L, 3, 48, 2L), '---', 2L)
(InputEvent(1480382772L, 225041L, 3, 49, 2L), '---', 2L)
(InputEvent(1480382772L, 225041L, 3, 0, 1526L), '---', 1526L)
(InputEvent(1480382772L, 225041L, 3, 1, 1223L), '---', 1223L)
(InputEvent(1480382772L, 240694L, 3, 53, 1525L), '---', 1525L)
(InputEvent(1480382772L, 240694L, 3, 54, 1225L), '---', 1225L)
(InputEvent(1480382772L, 240694L, 3, 60, 1525L), '---', 1525L)
(InputEvent(1480382772L, 240694L, 3, 61, 1225L), '---', 1225L)
(InputEvent(1480382772L, 240694L, 3, 0, 1525L), '---', 1525L)
(InputEvent(1480382772L, 240694L, 3, 1, 1225L), '---', 1225L)
(InputEvent(1480382772L, 249139L, 3, 53, 1524L), '---', 1524L)
(InputEvent(1480382772L, 249139L, 3, 54, 1227L), '---', 1227L)
(InputEvent(1480382772L, 249139L, 3, 60, 1524L), '---', 1524L)
(InputEvent(1480382772L, 249139L, 3, 61, 1227L), '---', 1227L)
(InputEvent(1480382772L, 249139L, 3, 0, 1524L), '---', 1524L)
(InputEvent(1480382772L, 249139L, 3, 1, 1227L), '---', 1227L)
(InputEvent(1480382772L, 256636L, 3, 53, 1523L), '---', 1523L)
(InputEvent(1480382772L, 256636L, 3, 54, 1229L), '---', 1229L)
(InputEvent(1480382772L, 256636L, 3, 60, 1523L), '---', 1523L)
(InputEvent(1480382772L, 256636L, 3, 61, 1229L), '---', 1229L)
(InputEvent(1480382772L, 256636L, 3, 0, 1523L), '---', 1523L)
(InputEvent(1480382772L, 256636L, 3, 1, 1229L), '---', 1229L)
(InputEvent(1480382772L, 264978L, 3, 53, 1522L), '---', 1522L)
(InputEvent(1480382772L, 264978L, 3, 54, 1230L), '---', 1230L)
(InputEvent(1480382772L, 264978L, 3, 60, 1522L), '---', 1522L)
(InputEvent(1480382772L, 264978L, 3, 61, 1230L), '---', 1230L)
(InputEvent(1480382772L, 264978L, 3, 0, 1522L), '---', 1522L)
(InputEvent(1480382772L, 264978L, 3, 1, 1230L), '---', 1230L)
(InputEvent(1480382772L, 304956L, 3, 53, 1525L), '---', 1525L)
(InputEvent(1480382772L, 304956L, 3, 54, 1229L), '---', 1229L)
(InputEvent(1480382772L, 304956L, 3, 60, 1525L), '---', 1525L)
(InputEvent(1480382772L, 304956L, 3, 61, 1229L), '---', 1229L)
(InputEvent(1480382772L, 304956L, 3, 0, 1525L), '---', 1525L)
(InputEvent(1480382772L, 304956L, 3, 1, 1229L), '---', 1229L)
(InputEvent(1480382772L, 313182L, 3, 53, 1532L), '---', 1532L)
(InputEvent(1480382772L, 313182L, 3, 54, 1227L), '---', 1227L)
(InputEvent(1480382772L, 313182L, 3, 60, 1532L), '---', 1532L)
(InputEvent(1480382772L, 313182L, 3, 61, 1227L), '---', 1227L)
(InputEvent(1480382772L, 313182L, 3, 52, 1L), '---', 1L)
(InputEvent(1480382772L, 313182L, 3, 0, 1532L), '---', 1532L)
(InputEvent(1480382772L, 313182L, 3, 1, 1227L), '---', 1227L)
(InputEvent(1480382772L, 321014L, 3, 52, 0L), '---', 0L)
(InputEvent(1480382772L, 321014L, 3, 48, 1L), '---', 1L)
(InputEvent(1480382772L, 321014L, 3, 49, 1L), '---', 1L)
(InputEvent(1480382772L, 329062L, 3, 57, -1L), '---', -1L)
(InputEvent(1480382772L, 599810L, 3, 57, 1491L), '---', 1491L)
(InputEvent(1480382772L, 599810L, 3, 53, 1596L), '---', 1596L)
(InputEvent(1480382772L, 599810L, 3, 54, 605L), '---', 605L)
(InputEvent(1480382772L, 599810L, 3, 60, 1596L), '---', 1596L)
(InputEvent(1480382772L, 599810L, 3, 61, 605L), '---', 605L)
(InputEvent(1480382772L, 599810L, 3, 52, 1L), '---', 1L)
(InputEvent(1480382772L, 599810L, 3, 48, 2L), '---', 2L)
(InputEvent(1480382772L, 599810L, 3, 49, 2L), '---', 2L)
(InputEvent(1480382772L, 599810L, 3, 0, 1596L), '---', 1596L)
(InputEvent(1480382772L, 599810L, 3, 1, 605L), '---', 605L)
(InputEvent(1480382772L, 607822L, 3, 48, 3L), '---', 3L)
(InputEvent(1480382772L, 624085L, 3, 48, 4L), '---', 4L)
(InputEvent(1480382772L, 673034L, 3, 53, 1597L), '---', 1597L)
(InputEvent(1480382772L, 673034L, 3, 60, 1597L), '---', 1597L)
(InputEvent(1480382772L, 673034L, 3, 0, 1597L), '---', 1597L)
(InputEvent(1480382772L, 681016L, 3, 53, 1598L), '---', 1598L)
(InputEvent(1480382772L, 681016L, 3, 60, 1598L), '---', 1598L)
(InputEvent(1480382772L, 681016L, 3, 0, 1598L), '---', 1598L)
(InputEvent(1480382772L, 689025L, 3, 53, 1600L), '---', 1600L)
(InputEvent(1480382772L, 689025L, 3, 60, 1600L), '---', 1600L)
(InputEvent(1480382772L, 689025L, 3, 0, 1600L), '---', 1600L)
(InputEvent(1480382772L, 697036L, 3, 48, 3L), '---', 3L)
